Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Ambitious Plasto,Commercial Services & Supplies,5.81,-19.87,15.44,,,112.5,,98.86,38.73
Ambo Agritec,Agricultural Food & other Products,63.41,-52.97,0.89,,4.07,8.63,0.38,18.15,47.32
Ambuja Cements,Cement & Cement Products,123690.05,7.62,12.27,12.48,8.73,10.5,0.02,15.97,32.19
Amco India,Industrial Products,30.21,-6.73,8.81,21.73,5.44,7.64,0.3,12.3,48.73
AMD Industries,Industrial Products,79.54,-5.66,-5.9,9.93,0.64,4.57,0.53,-1.26,
Ameenji Rubber,Industrial Products,130.17,,,,54.28,32.38,1.85,12.85,13.14
Amerise BioScie,Industrial Products,4.62,-23.08,-2.27,-15.76,0.19,0.19,0,800,66
Ameya Precision,Industrial Products,70.99,-5.4,39.59,,16.58,22.55,0,5.33,13.29
Amforge Inds.,Auto Components,9.73,-20.38,3.37,25.98,3.72,6.53,0.05,-5.49,25.61
Amic Forging,Industrial Products,1523.43,36.81,,,21.8,27.89,0.05,-10.17,60.38
Amin Tannery,Consumer Durables,17.17,-32.05,-7.05,12.82,2.29,4.26,2.18,-12.36,59.21
Amines & Plast.,Chemicals & Petrochemicals,851.38,-24.39,20.94,18.38,16.87,20.01,0.11,-13.38,24.97
Amit Internation,Textiles & Apparels,6.31,-25,2.75,7.22,0.66,0.81,0,,52.58
Amit Securities,Finance,38.27,,,70.33,4.69,1.61,0,28.91,30.86
AMJ Land Holdin.,Realty,165.03,-19.24,16.36,9.13,8.66,13.54,0,4.04,8.24
Amkay Products,Healthcare Equipment & Supplies,54.36,28.16,,,14.79,16.88,0.07,26.15,15.62
Ampvolts,Power,63.79,-19.73,-9.39,77.2,1.5,-0.95,0.45,435.42,24.35
Amrapali Inds.,Commercial Services & Supplies,74.24,-4.5,4.05,27.71,5.13,7.07,4.5,22.08,14.82
Amraworld Agrico,Textiles & Apparels,7.46,-38.61,-3.96,-0.94,-1.13,-1.13,0,,
Amrutanjan Healt,Pharmaceuticals & Biotechnology,1725.24,3.29,-1.39,1.73,16.53,22.45,0.01,10.09,29.84
Amwill Health,Pharmaceuticals & Biotechnology,69.71,-61.02,,,24.85,27.56,0,-10.19,8.63
Anand Rathi Shar,Capital Markets,3177.97,,,,23.04,21.26,0.93,23.8,29.3
Anand Rathi Wea.,Capital Markets,25536.32,53.75,100.96,,45.33,56.26,0.1,20.14,69.75
Anand Rayons,Textiles & Apparels,242.07,-44.2,42.25,28.56,6.13,9.24,0.21,24.26,25.67
Anant Raj,Realty,19066.28,14.37,70.1,59.08,10.89,11.17,0.13,22.61,36.19
Anantam Highways,Transport Infrastructure,2230.03,,,,177.03,18.96,8.7,-63.31,5.43
ANB Metal,Industrial Products,514.81,,,,45.92,29.6,0.3,45,40.16
Andhra Cements,Cement & Cement Products,511.92,-6.44,120.94,58.23,-68.44,-10.52,12.22,36.43,
Andhra Paper,"Paper, Forest & Jute Products",1367.49,-9.18,-7.01,6.66,3.07,4.5,0.14,5.56,72.93
Andhra Petrochem,Chemicals & Petrochemicals,342.95,-23.62,-12.03,-9.33,-2.75,-1.57,0.15,-18.36,
Andhra Sugars,Chemicals & Petrochemicals,1000.66,3.65,-14.79,3.99,2.51,3.54,0,19.28,9.89
Andrew Yule & Co,Agricultural Food & other Products,1009.19,-30.99,-1.81,-3.01,-7.96,-6.83,0.33,3.88,98.46
ANG Lifesciences,Pharmaceuticals & Biotechnology,30.35,-31.55,-32.35,-4.98,-17.05,-4.18,1.52,-24.29,
Angel Fibers,Textiles & Apparels,37.5,6.08,-18.3,9.2,6.8,8.76,1.43,7.5,10.65
Angel One,Capital Markets,21199.17,7.51,32.48,48.04,27.07,25.8,0.77,-14.56,27.55
ANI Integrated,Commercial Services & Supplies,86.02,-51.9,15.31,24.1,14.65,15.8,0.26,12.82,10.81
Anik Industries,Commercial Services & Supplies,128.26,-49.61,11.05,21.93,0.68,0.86,0.05,49.02,76.35
Anirit Ventures,Textiles & Apparels,25.76,-32.13,98.26,65.77,,,,-100,
Anjani Finance,Finance,11.06,-14.78,7.89,27.94,2.21,3.62,0.08,-35.71,50.27
Anjani Foods,Food Products,50.7,-39.37,-12.03,-13.95,9.45,10.7,0.73,6.36,61.08
Anjani Portland,Cement & Cement Products,373.47,11.31,-8.64,-8.57,-31.85,-9.07,2.26,4.68,
Anjani Synth.,Textiles & Apparels,35.98,-41.89,-4.9,2.27,3.9,6.04,0.3,20.23,10.77
Anka India,Consumer Durables,144.06,92.63,5.89,23.57,,,0.12,,
Ankit Met.Power,Ferrous Metals,23.42,-19.42,-29.06,7.62,,-34.2,,-1.48,
Anlon Healthcare,Pharmaceuticals & Biotechnology,576.8,,,,40.45,24.83,0.27,81.19,20.48
Anlon Tech,Commercial Services & Supplies,238.64,46.45,33.6,,14.65,19.34,0.16,98.82,25.5
Anmol India,Consumable Fuels,67.56,-26.41,-28.69,6.66,6.7,9.81,1.85,4.41,6.54
Anna Infrastruct,Finance,11.54,34.56,58.69,33.17,4.51,6.14,0,288.89,8.49
Annapurna Swadi.,Food Products,421.67,-33.8,11.6,,9.71,12.84,0.36,34.39,18.13
Annvrridhhi Ven,Agricultural Food & other Products,14.99,-30.29,21.32,55.12,7.41,7.72,0.16,49.45,51.69
Anondita Medi.,Personal Products,1356.5,,,,41.72,,0.43,,59.08
ANS Industries,Beverages,15.73,30.87,18.56,0.36,-54.26,-39.82,0.56,,
Ansal Buildwell,Realty,74.87,-8.02,10.59,16.89,6.31,9.85,0.3,16.65,10.93
Ansal Housing,Realty,53.27,-24.48,28.21,4.46,-4.8,4.7,2.33,-19.94,
Ansal Properties,Realty,62.96,-38.18,-24.78,-12.73,,,,34.2,
Antarctica,Industrial Products,13.49,-19.44,10.21,9.61,-1.98,-1.59,0.65,111.09,6.88
Antelopus Selan,Oil,1809.63,1.6,22.08,31.12,17.18,22.78,0.01,-4.97,27.29
Anthem Bioscienc,Pharmaceuticals & Biotechnology,39390.18,,,,20.83,28.5,0.04,29.96,78.36
Antony Waste han,Other Utilities,1398.57,-7,24.07,10.44,11.34,12.1,0.68,12.1,21.59
Anuh Pharma,Pharmaceuticals & Biotechnology,773.33,0.23,22.35,7.23,13.41,17.24,0,22.39,18.49
Anupam Finserv,Finance,40.23,24.71,12.73,26.67,3.68,6.61,,36.29,24.23
Anupam Rasayan,Chemicals & Petrochemicals,14109.22,95.97,22.37,,3.32,7.33,0.38,66.49,82.01
Anuroop Packagin,Industrial Products,14.1,-38.21,-34.3,7.35,13.87,16.62,0.43,-23.52,2.81
Anya Polytech &,Fertilizers & Agrochemicals,232.8,-11.42,,,12.71,14.22,0.72,10.85,36.95
Anzen IYEP Trust,Power,2315.09,,4.81,,-1.65,1.88,1.32,55.85,
Apar Inds.,Electrical Equipment,44910.18,92.85,67.75,88.08,19.5,32.7,0.14,20.66,45.29
Apcotex Industri,Industrial Products,1895.71,11.24,-6.47,14.62,9.99,12.81,0.23,2.94,22.77
Apeejay Surrend.,Leisure Services,2682.11,-13.83,,,6.87,11.99,0.17,13.43,31.57
Apex Ecotech,Other Utilities,168.77,15.32,,,28.07,37.51,0,33.69,17.6
Apex Frozen Food,Food Products,1217.03,97.94,22,10.09,0.76,2.43,0.08,23.17,39.1
Apis India,Food Products,823.89,,190.09,,15.21,14.43,0.26,12.84,38.11
APL Apollo Tubes,Industrial Products,62040.55,55.29,21.03,32.54,18.95,22.36,0.16,8.79,54.33
Aplab,Electrical Equipment,175.56,134.11,66.3,56.07,2.95,-8.82,1.42,18.63,17.08
APM Industries,Textiles & Apparels,85.34,12.22,-8.17,11.51,-0.32,-1.02,0.02,-11.77,44.22
Apollo Finvest,Finance,145.57,-30.52,-3.13,4.17,11.44,14.69,0.3,-21.45,21.04
Apollo Hospitals,Healthcare Services,112461.17,29.23,21.01,20.48,18.42,16.64,0.88,14.52,61.93
Apollo Ingredie.,Commercial Services & Supplies,11.08,,,,8.13,10.57,0,35.4,11.79
Apollo Micro Sys,Aerospace & Defense,8496.41,111.04,97.84,84.58,10.02,13.98,0.33,44.25,95.14
Apollo Pipes,Industrial Products,1576.93,5.43,-10.49,8.6,4.61,7.32,0.09,-4.44,96.86
Apollo Sindoori,Leisure Services,325.21,-2.61,6.14,17.58,5.34,8.69,0.54,8.97,25.43
Apollo Techno,Industrial Manufacturing,143.73,,,,73.8,31.21,1.11,43.72,11.65
Apollo Tyres,Auto Components,28836.76,21.31,12.82,13.15,8.61,11.44,0.29,6.17,19.73
Apoorva Leasing,Finance,71.65,-14.17,37.56,18.38,0.28,0.32,0,-87.21,
Aprameya Enginee,Healthcare Equipment & Supplies,376.42,108.11,,,36.78,31.12,0.53,108.27,15.3
Apt Packaging,Industrial Products,149.69,125.34,45.66,,,5.86,0.51,62.74,155.93
Aptech,Other Consumer Services,507.35,-21.5,-28.5,-11.85,7.63,13.92,0.06,14.73,17.9
Aptus Pharma,Pharmaceuticals & Biotechnology,186.56,,,,70.94,38.2,0.37,37.9,52.7
Aptus Value Hou.,Finance,12217.88,-20.66,0.26,,18.58,15.05,1.57,28.1,13.74
Aqylon Nexus,Entertainment,3047.56,165.14,808.84,280.8,,143.24,13.2,74.71,
Arabian Petrol.,Petroleum Products,82.67,9.13,,,18.03,18.68,0.58,13.64,7.45
Aravali Sec,Commercial Services & Supplies,9.44,54.98,17.2,38.33,,1.73,,0,
ARC Finance,Finance,50.55,-42.57,-1.67,14.09,4.43,7.44,0.15,-4.99,
ARC Insulation,Industrial Products,52.21,,,,45.5,52.61,0,15.33,6.09
Arcee Industries,Industrial Products,7.62,199.39,26.45,23.35,-5.3,-12.07,0.06,-57.14,
Archean Chemical,Chemicals & Petrochemicals,7113.06,14.49,-3.18,,9.8,12.81,0.15,14.94,48.57
Archidply Decor,Consumer Durables,38.48,2.96,6.83,17.28,0.12,3.21,0.37,-8.41,962
Archidply Inds.,Consumer Durables,160.75,-0.09,11.33,17.58,-6.95,3.54,1.78,26.75,29.23
Archies,Consumer Durables,53.44,-11.82,-7.21,6.22,2.78,4.06,0.33,-12.24,
Archit Organosys,Chemicals & Petrochemicals,80.19,2.46,-17.49,12.18,7.62,10.85,0.39,30.19,9.99
ARCL Organics,Chemicals & Petrochemicals,132.92,-12.76,,,17.25,20.33,0.39,18.36,18.33
Arco Leasing,Finance,0.09,,,,,2.38,,20,
Arex Industries,Textiles & Apparels,42.46,-19.18,8.65,17.34,9.08,11.76,0.4,-4,23.99
Arfin India,Non - Ferrous Metals,1209.74,133.4,49.52,65.36,7.23,13.97,0.93,-2.09,142.49
Arham Tech,Consumer Durables,231.55,39.64,67.73,,26.43,23.69,0.96,38.24,21.97
Aries Agro,Fertilizers & Agrochemicals,426.8,40.74,26.29,27.5,12.26,18.38,0.21,14.77,9.79
Arigato Universe,Industrial Manufacturing,21.84,-44.4,30.16,23.64,-37.11,-29.62,0,2580,24.27
Arih.Found.Hsg.,Realty,1008.02,51.07,204.72,113.13,16.47,19.52,0.88,84.41,14.87
Arihant Academy,Other Consumer Services,299.73,135.71,61.51,,17.76,,0,,44.54
Arihant Capital,Capital Markets,878.77,24.45,24.05,38.05,15.9,21.26,0.51,-23.26,22.73
Arihant Super.,Realty,1145.69,-32.84,8.9,46.1,18.84,11.1,2.38,4.11,25.23
Arihant's Secur.,Commercial Services & Supplies,10.02,-27.13,26.12,36.43,1.26,1.7,0,-94.59,
Aris Interna.,IT - Software,57.43,127.91,,,6.61,5.16,0.33,227.27,441.77
Arisinfra Solu.,Other Construction Materials,913.6,,,,1.48,12.26,0.08,25.53,28.07
Aristo Bio-Tech,Fertilizers & Agrochemicals,64.64,-3.95,14.35,,11.31,12.42,0.84,10.39,17.57
Aritas Vinyl,Consumer Durables,34.2,,,,31.21,13.08,1.66,41.97,6.77
Arkade,Realty,2091.31,-18.83,,,25.75,30.3,0.18,11.38,14.12
Arman Financial,Finance,1647.9,22.6,3.91,21.51,6.17,13.31,1.37,-6.15,58.13
Arman Holdings,Finance,58.59,40.9,56.3,16.68,-0.32,-0.16,0,617.11,130.2
Armour Security,Commercial Services & Supplies,44.28,,,,24.08,29,0.28,8.29,10.13
Arnold Holdings,Finance,29.39,-61.58,-20.72,-15.3,9.25,9.21,0.94,-23.79,26.96
Aro Granite Inds,Consumer Durables,40.76,-25.61,-14.42,-10.64,-3.36,1.68,0.81,-31.25,
Arrow Greentech,Industrial Products,608.95,-23.72,30.04,38.59,39.57,53.25,0.01,-8.73,11.85
Arrowhead Sepera,Industrial Manufacturing,13.17,-22.72,,,2.5,6.17,0.34,3.16,
Arshiya,Transport Services,42.42,-51.21,-37.52,-44.63,,,6.65,8.3,
Art Nirman Ltd,Realty,100.97,-4.98,-11.46,14.18,5.48,6.63,0.53,-38.22,84.14
Artefact Project,Commercial Services & Supplies,43.89,-6.19,12.39,11.03,11.7,13.45,0.2,25.55,6.09
Artemis Electri.,Electrical Equipment,449.61,-11.12,18.99,29.23,9.26,11.68,0.02,107.18,46.93
Artemis Medicare,Healthcare Services,3797.77,3.56,55.02,60.34,12.92,14.88,0.31,14.09,38.2
Artificial Elect,IT - Software,328.02,-51.03,199.11,125.57,17.78,22.89,0,371.5,12.94
Artson,Industrial Manufacturing,543.65,-7.19,23.8,33.64,124.29,24.57,18.53,102,
Aruna Hotels,Leisure Services,26,-25.39,-16.38,17.33,3.81,9.84,3.76,5.05,5.86
Arunaya Organics,Chemicals & Petrochemicals,34.11,,,,29.94,25.37,0.38,67.95,8.79
Arunis Abode,Commercial Services & Supplies,1121.27,979.69,351.42,150.11,-1.88,-5.26,0,17181.48,65.08
Arunjyoti Bio,Finance,148.36,-39.88,47.91,131.39,-10.66,4.03,0.71,-17.57,
Arvee Laborat.,Chemicals & Petrochemicals,170.81,9.62,14.48,,7.12,10,0.03,-28.86,82.12
Arvind Fashions.,Retailing,5882.09,15.61,16.71,22.74,-3.63,16.93,1.22,12.51,
Arvind Ltd,Textiles & Apparels,9217.26,3.69,62.2,34.9,9.32,13.04,0.4,9.63,21.91
Arvind Port &,Transport Services,54.61,-38.76,,,12.58,,0.06,,9.01
Arvind SmartSp.,Realty,2508.69,-19.26,28.09,40.26,18.8,19.05,0.28,-14.35,34.24
Aryaman Capital,Finance,513.4,90.72,87.54,68.19,38.69,31.72,0,125.32,17.83
Aryaman Fin.Serv,Finance,782.95,26.91,80.01,71.97,31.3,31.88,0,34.5,23.48
Aryan Share,Finance,6.18,8.42,43.92,26.74,-2.06,-0.53,0,-19.2,2.87
Aryavan Enterprise,Industrial Products,36.96,22.05,32.44,34.48,5.1,,0.01,450.84,14.38
Asahi India Glas,Auto Components,22961.29,46.29,22.69,25.33,13.61,12.45,0.77,6.55,73.22
Asahi Songwon,Chemicals & Petrochemicals,264.75,-21.68,5.15,-4.43,8.15,9.17,0.55,1.61,17.05
Asarfi Hospital,Healthcare Services,310.51,64.79,,,14.06,15.83,0.54,43.93,18.47
Ascensive Educa.,Other Consumer Services,69.04,39.67,62.2,,18.69,20.62,0.54,103.82,16.24
Ascom Leasing &,Finance,245.35,101.39,-10.28,48.84,10.84,14.37,0.07,9.2,47.27
Ashapura Logi.,Transport Services,85.4,-19.9,,,12.56,13.94,0.54,50.53,6.56
Ashapura Minech.,Minerals & Mining,5048.55,53.79,70.01,35.8,27.14,18.64,0.86,45.73,13.24
Ashapuri Gold,Consumer Durables,164.32,-32.47,-16.54,-8.67,10.18,13.78,0,16.61,9.12
Ashiana Agro Ind,Agricultural Food & other Products,4.81,14.96,17.21,3.45,3.53,4.31,0,-2.44,96.2
Ashiana Housing,Realty,3260.02,7.97,30.9,22.6,2.74,3.33,0.44,72.88,27.8
Ashiana Ispat,Industrial Products,20.89,-17.85,-7.35,20.3,-76.8,-9.02,,379.95,
Ashika Credit,Finance,1680.99,-34.33,123.49,59.03,-20.26,-22.15,0,-76.98,
Ashima,Textiles & Apparels,270.24,-25.91,-1.27,-2,-5.79,1.79,0.58,-91.09,
Ashirwad Cap.,Finance,24.03,-39.59,6.35,9.32,4.38,5.16,0.14,41.58,23.56
Ashirwad Steels,Industrial Products,27.85,-29.89,0.44,12.53,2.81,3.82,0,22.95,12.21
Ashish Polyplast,Industrial Products,10.69,-30.95,16.76,28.34,2.58,5.09,0.03,-10.41,152.71
Ashnisha Indus.,Commercial Services & Supplies,106.05,20.85,-36.63,60.98,0.28,1.23,0.08,-20.09,311.91
Ashnoor Textile,Textiles & Apparels,67.6,-13.74,13.75,26.42,15.42,13.57,0.53,-25.36,7.93
Ashok Leyland,"Agricultural, Commercial & Construction Vehicles",123997.07,98.27,43.14,26.63,28.82,14.26,4.33,13.5,34.39
Ashoka Buildcon,Construction,3649.96,-24.47,20.4,3.06,54.78,39.7,0.47,-20.53,3.49
Ashoka Metcast,Metals & Minerals Trading,38.04,-13.23,0.49,25.91,2.96,3.83,0.28,-66.82,4.17
Ashoka Refinerie,Agricultural Food & other Products,4.34,-5.27,20.37,18.97,-6.4,-6.06,0.06,-96.1,
Ashram Online,Healthcare Services,5.98,6.64,8.58,11.34,-0.57,-0.32,0.35,36.36,
Ashtasidhhi Ind,Finance,15.85,5.08,25.81,37.99,0.2,0.29,0,234.1,176.11
Ashwini Contain.,Transport Services,227.1,,,,72.05,24.08,2.46,19.21,14.8
Asi Industries,Minerals & Mining,244.73,-16.06,27.69,11.95,7.01,9.88,0.04,-2.56,9.4
Asia Capital,Finance,6.84,,,,6.01,6.44,0,-57.89,40.26
Asia Pack,Textiles & Apparels,10.8,-54,5.31,17.15,0.77,0.62,0,162.5,23.48
Asian Energy,Oil,1313.06,17.02,73.45,25.6,12.45,16.59,0.24,81.43,28.06
Asian Granito,Consumer Durables,1652.6,61.59,22.36,-9.95,2.1,2.17,0.2,11.62,31.98
Asian Hotels (E),Leisure Services,278,24.59,14.32,20.89,7.36,11.76,1.55,10.08,115.35
Asian Hotels (N),Leisure Services,1235.08,-21.02,58.94,32.4,-40.98,6.66,3.38,6.26,
Asian Paints,Consumer Durables,227924.58,9.01,-5.78,0.12,20.59,25.72,0.18,1.22,55.86
Asian Petroprod.,Chemicals & Petrochemicals,21.24,-6.79,-10.31,32.85,-26.79,-16.51,0.58,777.04,124.94
Asian Star Co.,Consumer Durables,970.01,-17.79,-4.02,-6.21,2.89,4.2,0.32,-3.16,26.69
Asian Tea & Exp,Commercial Services & Supplies,24.62,-30.44,-8.08,-7.09,0.2,2.69,0.16,44.07,
Asian Warehous.,Other Consumer Services,12.99,-15.31,,,0.23,1.58,0.25,91.04,185.57
Asit C Mehta Fin,Capital Markets,95.65,-0.77,3.06,22.11,-10.09,5.41,4.36,33.04,
ASK Automotive,Auto Components,8188.32,14.33,,,26.63,27.58,0.53,9.77,28.89
ASM Technologies,IT - Software,3461.12,102.49,82.83,72.89,16.85,19.3,0.18,132.04,56.7
Aspinwall & Co,Transport Services,168.54,-14.13,1.49,5.24,7.79,8.84,0.44,15.84,30.31
Aspira Pathlab,Healthcare Services,58.67,-21.92,16.65,14.87,33.63,17.37,0.22,20.9,39.91
Aspire & Innovat,Consumer Durables,19.35,-52.95,,,9.03,10.72,0.02,-58.74,7.36
Assam Entrade,Finance,129.44,24.04,42.57,56.55,4.74,6.39,0.03,-9.26,28.26
Assoc.Alcohols,Beverages,1533.61,-25.55,31.08,18.04,17.27,20.01,0.13,-4.86,17.57
Associated Cera.,Other Construction Materials,39.26,-8.79,142.28,,9.55,10.78,0.08,13.8,15.58
Associated Coat.,Industrial Products,14.5,-12.8,,,25.12,32.62,0.01,10.78,12.72
Asston Pharmaceu,Pharmaceuticals & Biotechnology,72.36,,,,41.85,36.62,0.1,56.21,13.58
Astal Lab,Pharmaceuticals & Biotechnology,323.37,-5.72,37.21,54.33,30.1,34.78,0.29,161.34,33.1
Astec Lifescienc,Fertilizers & Agrochemicals,1389.74,-13.49,-23.23,-9.51,-45.29,-12.86,0.89,-1.56,
Aster DM Health.,Healthcare Services,33916.2,62.45,44.05,35.49,8.26,10.68,0.46,8.5,94.14
Astonea Labs,Pharmaceuticals & Biotechnology,166.6,,,,35.35,17.3,0.73,21.63,35.91
Astra Microwave,Aerospace & Defense,9196.37,59.55,53.85,51.53,14.43,18.72,0.24,8.54,57.31
Astral,Industrial Products,44808.16,24.73,5.33,6.18,14.89,19.71,0.07,6.67,86.97
Astrazeneca Phar,Pharmaceuticals & Biotechnology,22122.5,32.1,37.82,20.69,23.63,33.4,0.04,34.49,106.34
Astron,Food Products,17.09,,,,24.69,25.21,0.41,30.93,7.4
Astron Paper,"Paper, Forest & Jute Products",18.88,-67.96,-44.54,-37.77,-47.56,-20.33,0.94,-97.92,
Atal Realtech,Realty,312.29,112.65,24.36,58.6,6.74,10.81,0.24,35.22,80.07
Atam Valves,Industrial Manufacturing,73.27,-30.82,-24.75,28.35,18.6,20.27,0.34,-22.42,19.86
ATC Energies,Electrical Equipment,57.6,,,,18.67,19.27,0.25,-12.34,9.26
Aten Papers,"Paper, Forest & Jute Products",21.84,,,,66.54,43.87,0.04,43.27,4
Atharv Enter,Finance,6.77,44.2,13.25,32.08,0.95,1.22,0.03,15,33.85
Athena Construc.,Realty,3.1,-47.66,-44.53,,-10.72,-3.6,1.12,-100,
Athena Global,IT - Software,104.76,4.27,14.14,12.15,-10.46,-2.5,0.59,-35.8,
Ather Energy,Automobiles,27180.23,,,,-156.5,-65.71,0.16,50.94,
Atishay,IT - Software,190.57,21.31,76.18,41.46,15.43,20.35,0.1,4.79,24.65
Atlanta Electric,Electrical Equipment,7200.22,,,,40.8,50.2,0.46,43.41,46.1
Atlantaa,Construction,330.4,18.23,51.75,38,23.1,4.62,1.53,-48.94,
Atlas Cycles,Consumer Durables,59.22,-10.9,,23.57,2.3,2.27,0.02,-21.31,
Atmastco Ltd,Construction,366.57,-32.14,,,16.78,21.85,0.62,-5.14,21.35
Atul,Chemicals & Petrochemicals,19649.43,25.7,-2.1,0.25,9.1,12.81,0.03,13.31,33.07
Atul Auto,"Agricultural, Commercial & Construction Vehicles",1375.91,12.54,11.87,19.09,4.99,6.48,0.32,18.3,38.62
ATV Projects,Industrial Manufacturing,170.4,2.62,58.22,48.99,3.66,2.96,0.18,-9.22,22.25
Atvo Enterprises,Textiles & Apparels,207.44,75.16,115.41,101.07,0.96,1.43,0,7.71,1152.44
AU Small Finance,Banks,71668.6,69.41,16.16,10.79,14.19,8.4,7.87,22.33,30.98
Auri Grow India,Industrial Manufacturing,38.38,-67.9,-41.52,-32.16,8.55,7.95,0.14,-32.61,11.49
Aurionpro Sol.,IT - Software,4911.1,-34.74,72.32,85.56,15.3,18.07,0.02,27.41,24.1
Auro Impex,Industrial Products,35.38,-49.12,,,10.43,10.63,0.94,1.53,9.29
Auro Labs.,Pharmaceuticals & Biotechnology,181.96,33.89,64.49,26.47,4.28,,1.01,,82.71
Aurobindo Pharma,Pharmaceuticals & Biotechnology,70881.03,15.32,38.07,6.91,11.08,14.18,0.22,7.31,20.07
Aurum Proptech,IT - Services,1290.56,5.58,14.97,17.24,-14.61,-2.83,0.58,32.73,
Ausom Enter.,Consumer Durables,132.65,20.43,15.75,14.56,14.59,16.32,0,37.97,4.47
Austere Sys.,IT - Software,50.3,,,,31.74,42.31,0.01,0.27,10.7
Austin Engg Co,Industrial Manufacturing,41.19,-20.89,-2.46,22.73,6,8.04,0.01,14.61,9.09
Australian Prem,Electrical Equipment,618.11,-27.2,,,57.82,70.83,0.23,139.26,11.41
Authum Invest,Finance,40919.93,70.92,133.87,129.37,34.14,30.85,0.17,-7.82,11.24
Auto Pins (I),Auto Components,92.28,60.1,28.9,,3.92,8.78,0.6,-21.67,242.84
Auto.Corp.of Goa,Auto Components,1017.07,61.41,28.38,29.35,19.72,20.16,0.34,43.47,14.99
Autoline Industr,Auto Components,343.04,7.88,2.48,18.87,14.94,14.21,1.54,11.76,23.84
Automotive Axles,Auto Components,3091.05,24.84,-3.94,11.87,16.58,22.32,0.01,-0.78,18.74
Automotive Stamp,Auto Components,749.07,0.04,16.78,65.84,2332.35,24.15,7.18,0.41,36.68
Autoriders Intl.,Transport Services,150.06,816.45,,,19.99,19.48,0.34,15.78,15.42
Avadh Sugar,Agricultural Food & other Products,746.19,-0.27,-4.6,13.85,8.24,9.19,0.56,4.85,9.91
Available Fin.,Finance,144.74,-29.39,4.31,55.8,9.15,0.03,0,5.36,1.21
Avalon Tech,Electrical Equipment,6804.07,53.39,,,10.35,12.76,0.25,50.81,70.82
Avana Electrosystems,Electrical Equipment,156.25,,,,47.11,49.55,0.26,16.04,18.8
Avance Tech.,IT - Software,223.96,76.56,204.56,,1.4,1.81,0.31,-22.94,149.31
Avantel,Aerospace & Defense,3809.01,36.16,78.1,86.18,28.12,37.06,0.09,-13.79,233.4
Avanti Feeds,Food Products,17477.59,85.2,51.68,21.48,19.53,23.99,0,8.54,27.63
Avasara Finance,Finance,24.47,-14.29,14,26.13,-20.18,-20.18,0,-100,
Avax Apparels,Textiles & Apparels,32.36,232.87,,,33.4,43.81,0.3,55.76,16.77
Aveer Foods,Food Products,218.67,-23.4,-0.43,,17.35,17.39,0.29,26.05,53.6
Avenue Super.,Retailing,250376.06,13.03,3.81,5.76,13.44,17.95,0.07,15.37,87.4
AvenuesAI,Financial Technology (Fintech),5778.08,2.03,7.12,-4.95,6.47,8.65,0.02,91.27,23.23
AVG Logistics,Transport Services,221.89,-41.73,-6.54,28.54,9.57,12.61,1.08,1.48,10.79
Avi Ansh,Textiles & Apparels,159.34,17.53,,,6.18,6.85,0.69,-5.59,112.21
AVI Polymers,Chemicals & Petrochemicals,187.52,261.71,46.57,56.25,15.59,19.42,0,202175,18.66
AVI Products,Commercial Services & Supplies,13.58,74.81,18.16,34.95,0.85,1.97,0.1,-34.22,
Avishkar Infra,Realty,1404.46,932.78,177.77,133.56,148.05,13.28,1.48,,811.83
Aviva Industries,Commercial Services & Supplies,121.13,82.9,28.16,39.14,-2.93,-2.35,0.3,20937.5,130.25
Avonmore Capital,Finance,411.99,-16.76,30.23,46.14,8.59,10.55,0.07,5.87,17.91
AVP Infracon,Construction,246.05,-47.27,,,30.2,26.24,1.14,101.19,5.66
Avro India,Consumer Durables,184.76,-11.08,1.61,62.05,,,0.27,,51.04
AVT Natural Prod,Agricultural Food & other Products,984.31,15.6,-9.96,7.68,9.89,12.84,0.19,22.76,17.23
AWFIS Space,Commercial Services & Supplies,2091.84,-55.24,,,26.07,12.9,2.91,29.35,35.66
AWL Agri Busine.,Agricultural Food & other Products,24576.92,-23.18,-20.73,,13.86,20.89,0.11,21.85,25.63
Axel Polymers,Industrial Products,50.29,11.49,-0.57,27.53,1.13,7.88,2.09,-56.35,30.3
Axis Bank,Banks,429969.7,36.27,16.95,13.69,16.3,7.11,7.4,4.53,16.38
Axis Solution,IT - Software,768.69,,,106.04,39.84,30.37,0.4,39.85,27.99
AXISCADES Tech.,Aerospace & Defense,6009.41,98.25,67.34,95.85,12.67,13.76,0.37,13.29,54.77
Axita Cotton,Textiles & Apparels,314.79,-10.05,-32.81,41.32,0.94,2.35,0.34,-38.79,131.71
Axtel Industries,Industrial Manufacturing,645.95,-9.5,25.19,4.65,14.45,19.76,0,-1.2,26.09
Aye Finance,Finance,2937.97,,,,11.98,12.7,2.75,40.33,17.16
AYM Syntex,Textiles & Apparels,1162.54,2.05,47.89,31.25,2.53,8.36,0.41,-9.47,
Azad Engineering,Electrical Equipment,11064.14,34.5,,,8.58,12.23,0.2,32.36,89.91
Azad India,Industrial Products,495.11,-4.12,45.89,37.06,0.08,-0.28,0.01,,467.08
Aztec Fluids,IT - Hardware,130.22,13.77,,,18.44,22.3,0.19,11.21,19.88
B & A,Agricultural Food & other Products,119.24,-20.49,12.52,19.03,6.02,8.96,0.53,9.03,20.96
