Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Alkosign,Household Products,73.39,4.02,11.04,,11.99,12.78,0.4,18.05,86.34
Alkyl Amines,Chemicals & Petrochemicals,7591.31,-6.7,-16.03,-6.09,13.96,18.66,0,-0.48,42.02
All E Tech,IT - Software,317.86,-57.12,16,,22.39,29.6,0,1.93,10.5
All Time Plastic,Consumer Durables,1541.33,,,,21,19.23,0.22,8.84,39.43
Allcargo Logist.,Transport Services,1264.13,-22.07,-30.12,-0.7,2.49,3.84,0.77,-32.25,90.09
Allcargo Termi,Transport Infrastructure,670.77,-6.26,,,12.98,11.59,,5.98,19.79
Alldigi Tech,Commercial Services & Supplies,1254.95,-7.58,19.29,18.91,27.34,31.36,0.33,11.36,16.48
Alliance Integ.,Industrial Products,61.61,-70.34,-42.3,23.64,,-24.67,,0.17,
Allied Blenders,Beverages,13317,52.72,,,19.96,21.08,0.68,13.95,49.66
Allied Digital,IT - Services,665.96,-41.1,6.45,24.56,5.31,10.87,0.19,16.04,18.13
Almondz Global,Capital Markets,279.92,-24.53,13.9,28.06,7.51,8.77,0.2,19.51,9.63
Alok Industries,Textiles & Apparels,7100.29,-6.9,0.35,-6.16,,-4.76,,-12.79,
Alpa Laboratorie,Pharmaceuticals & Biotechnology,138.89,-32.37,4.32,10.45,12.09,15.79,0,18.93,11.91
Alpex Solar,Electrical Equipment,1966.43,30.97,,,47.72,50.48,0.37,227.66,10.61
Alphageo (India),Oil,127.43,-17.32,-5.67,-2.04,-3.78,-4.32,0,24.71,
Alphalogic Indu,Industrial Products,151.82,-3.87,,,14.28,19.62,0.07,-29.02,41.48
Alphalogic Tech.,IT - Software,249.57,-58.17,26.89,55.74,11.49,16.28,0.1,-35.33,49.52
Alpine Housing,Realty,156.45,-12.61,-4.53,45.48,6.3,8.57,0.15,18.78,26.97
Alstone Textiles,Retailing,94.12,-75.81,-48.68,,-0.31,-0.09,2.16,-100,14.82
Altius Telecom,Telecom - Services,48758.4,6.67,,,5.7,8.17,3.88,41.74,50.07
Alufluoride,Chemicals & Petrochemicals,357.94,11.91,13.72,12.37,20.79,23.62,0.29,17.18,15.1
Aluwind Infra,Industrial Products,152.81,4.24,,,18.8,21.7,0.36,46.5,13.98
Amagi Media Labs,IT - Services,8264.15,,,,-15.48,-10.42,0.07,32.24,
Amal,Chemicals & Petrochemicals,616.84,-24.19,30.37,17.01,35.03,36.32,0,72.54,22.63
Amalgamated Elec,Commercial Services & Supplies,14.37,-12.12,25.59,13.44,,,,-100,
Amanaya Ventures,Non - Ferrous Metals,6.54,27.27,,,5.61,7.93,0,6.75,34.42
Amanta Healthcar,Pharmaceuticals & Biotechnology,399.75,,,,12.99,14.8,0.88,-2.01,25.03
Amara Raja Ener.,Auto Components,15464.73,-13.71,14.14,-1.25,12.34,16.75,0.04,6.83,20.48
Amarjothi Spg.,Textiles & Apparels,93.45,-12.04,-6.98,6.89,5.89,9.84,0.27,-27.51,8.1
Amarnath Sec.,Finance,4.25,19.18,-20.83,-4.67,4.33,5.77,0.17,-2.5,23.61
Amba Enterprises,Electrical Equipment,173.51,-21.8,37.81,56.71,18.95,20.56,0.12,12.85,21.91
Ambalal Sarabhai,Pharmaceuticals & Biotechnology,201.09,-33.33,3.06,5.22,6.25,9.12,0.32,8.55,11.35
Ambani Orgochem,Chemicals & Petrochemicals,104.69,25.07,24.99,23.8,0.04,7.12,1.06,42.52,166.17
Ambar Protein,Agricultural Food & other Products,96.51,-7.42,-18.1,,32.27,27.5,0.61,25.65,13.71
Ambassador Intra,Commercial Services & Supplies,10.53,17.39,5.36,,4.86,7.48,0.47,,61.94
Amber Enterp.,Consumer Durables,28061.84,41.67,61.55,20.02,11.28,14.49,0.77,30.67,120.73
Ambey Laborator.,Fertilizers & Agrochemicals,57.38,-53.3,,,8.75,9.97,0.44,3.28,12.92
Ambica Agarbat.,Household Products,43.58,-1.97,3.1,,0.45,7.49,0.75,29.28,63.16
Ambika Cotton,Textiles & Apparels,774.19,2.18,-2.83,6.55,7.46,11.47,0,-9,12.31
